<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBRX.US,5,20240508,212500,7.8001,7.85,7.79,7.845,52873,0
IBRX.US,5,20240508,213000,7.845,7.855,7.82,7.82,78524,0
IBRX.US,5,20240508,213500,7.82,7.87,7.81,7.82,59188,0
IBRX.US,5,20240508,214000,7.825,7.85,7.82,7.84,36378,0
IBRX.US,5,20240508,214500,7.845,7.9,7.84,7.89,67865,0
IBRX.US,5,20240508,215000,7.89,7.91,7.87,7.895,71000,0
IBRX.US,5,20240508,215500,7.895,7.93,7.89,7.92,507881,0
IBRX.US,5,20240509,153000,7.96,7.96,7.82,7.96,90088,0
IBRX.US,5,20240509,153500,7.94,7.94,7.74,7.7897,113561,0
IBRX.US,5,20240509,154000,7.78,7.815,7.715,7.79,69823,0
IBRX.US,5,20240509,154500,7.79,7.83,7.75,7.8199,67114,0
IBRX.US,5,20240509,155000,7.81,7.82,7.72,7.795,29063,0
IBRX.US,5,20240509,155500,7.8,7.8,7.735,7.75,50298,0
IBRX.US,5,20240509,160000,7.75,7.8198,7.7,7.795,44665,0
IBRX.US,5,20240509,160500,7.79,7.82,7.7499,7.795,37825,0
IBRX.US,5,20240509,161000,7.8,7.95,7.8,7.81,94638,0
IBRX.US,5,20240509,161500,7.81,7.8799,7.8098,7.86,31997,0
IBRX.US,5,20240509,162000,7.87,7.975,7.87,7.95,73579,0
IBRX.US,5,20240509,162500,7.95,7.95,7.89,7.9199,52866,0
IBRX.US,5,20240509,163000,7.92,8,7.92,8,55342,0
IBRX.US,5,20240509,163500,8.005,8.09,8.005,8.08,120440,0
IBRX.US,5,20240509,164000,8.079,8.0978,8.0489,8.0727,33599,0
IBRX.US,5,20240509,164500,8.07,8.085,8.02,8.08,43045,0
IBRX.US,5,20240509,165000,8.09,8.135,8.05,8.05,85434,0
IBRX.US,5,20240509,165500,8.045,8.12,8.02,8.095,39432,0
IBRX.US,5,20240509,170000,8.1,8.1057,8.07,8.08,53846,0
IBRX.US,5,20240509,170500,8.075,8.08,8.022,8.0796,41641,0
IBRX.US,5,20240509,171000,8.075,8.195,8.075,8.19,73895,0
IBRX.US,5,20240509,171500,8.2,8.2,8.07,8.08,98209,0
IBRX.US,5,20240509,172000,8.085,8.13,8.085,8.1,52244,0
IBRX.US,5,20240509,172500,8.0913,8.14,8.09,8.1,14816,0
IBRX.US,5,20240509,173000,8.1,8.1011,8.025,8.025,36718,0
IBRX.US,5,20240509,173500,8.0201,8.04,7.95,7.975,70025,0
IBRX.US,5,20240509,174000,7.98,8.02,7.97,7.975,25588,0
IBRX.US,5,20240509,174500,7.98,8.04,7.955,8.0272,38352,0
IBRX.US,5,20240509,175000,8.0297,8.045,8.005,8.045,16726,0
IBRX.US,5,20240509,175500,8.0499,8.05,8.03,8.05,12491,0
IBRX.US,5,20240509,180000,8.045,8.065,8.03,8.035,29912,0
IBRX.US,5,20240509,180500,8.04,8.07,8.0362,8.065,33111,0
IBRX.US,5,20240509,181000,8.0721,8.075,8.005,8.06,24575,0
IBRX.US,5,20240509,181500,8.06,8.15,8.0509,8.13,42646,0
IBRX.US,5,20240509,182000,8.135,8.16,8.12,8.1485,19932,0
IBRX.US,5,20240509,182500,8.1401,8.162,8.1324,8.145,19914,0
IBRX.US,5,20240509,183000,8.155,8.17,8.15,8.1663,22714,0
IBRX.US,5,20240509,183500,8.1601,8.185,8.15,8.15,33073,0
IBRX.US,5,20240509,184000,8.145,8.1599,8.11,8.1324,66315,0
IBRX.US,5,20240509,184500,8.14,8.15,8.135,8.135,7970,0
IBRX.US,5,20240509,185000,8.135,8.14,8.1033,8.1276,18285,0
IBRX.US,5,20240509,185500,8.125,8.14,8.09,8.115,17878,0
IBRX.US,5,20240509,190000,8.115,8.1385,8.0981,8.12,19134,0
IBRX.US,5,20240509,190500,8.125,8.13,8.05,8.075,43160,0
IBRX.US,5,20240509,191000,8.065,8.09,8.05,8.07,14259,0
IBRX.US,5,20240509,191500,8.075,8.09,8.065,8.08,10412,0
IBRX.US,5,20240509,192000,8.075,8.105,8.03,8.1,28497,0
IBRX.US,5,20240509,192500,8.1,8.12,8.075,8.085,21493,0
IBRX.US,5,20240509,193000,8.085,8.085,8.025,8.035,30026,0
